memo_id,title,borrower,loan_type,amount,purpose,risk_analysis,recommendation,score,revenue,net_income,ebitda,total_assets,total_debt,current_ratio,dscr,debt_to_ebitda
CM-001,Pet Care Business seeking Working Capital [5],Food Truck,Refinance Loan,"$1,491,120",Refinance Debt,"Excellent: Exceptional financials, low risk, excellent reputation. DSCR above policy minimum; liquidity maintained. Business model proven over a decade with consistent profitability. Business heavily leveraged; recent refinancing attempts unsuccessful. Significant contingent liabilities from outstanding legal claims. Outstanding tax liens discovered in credit review.",Approve on preferred terms; risk is minimal.,5,4361419,753296,900733,7038583,1893593,2.66,1.99,1.19
CM-002,Brewery seeking Equipment Loan [3],Restaurant,Partner Buyout,"$1,775,214",Expansion,"OK: Average risk, adequate financials, fair collateral. Outstanding tax liens discovered in credit review. Growth tied heavily to local market conditions. Applicant lacks relevant industry experience.",Approve with tight covenants and ongoing review.,3,3689428,235616,353951,4943451,4383771,1.3,1.16,2.95
CM-003,Cleaning Service seeking Inventory Loan [3],Food Truck,Startup Capital,"$1,748,468",Renovate Facility,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. DSCR above policy minimum; liquidity maintained. Collateral consists of recently appraised real estate and new equipment.",Approve with tight covenants and ongoing review.,3,4873651,315104,492012,6687119,6779197,1.32,1.32,3.04
CM-004,Pet Care Business seeking Equipment Loan [3],Hair Salon,CRE Mortgage,"$504,252",Refinance Debt,"OK: Average risk, adequate financials, fair collateral. Significant contingent liabilities from outstanding legal claims. Facility lease expiring next year, renewal terms uncertain. New management team, limited track record in sector. Business heavily leveraged; recent refinancing attempts unsuccessful. Market position strengthened by recent competitive exits.",Approve with tight covenants and ongoing review.,3,1028033,81456,117731,1222332,1271828,1.35,1.11,2.72
CM-005,Private School seeking Refinance Loan [5],Logistics Company,Working Capital,"$583,400",Launch New Business,"Excellent: Exceptional financials, low risk, excellent reputation. Applicant lacks relevant industry experience. Collateral consists of recently appraised real estate and new equipment. Recent investment in technology improving operations. Business experienced a recent operating loss due to market disruption.",Approve on preferred terms; risk is minimal.,5,5162347,1020607,1099267,11714022,2874007,3.69,2.36,0.97
CM-006,Fitness Gym seeking Inventory Loan [4],Consultancy,Refinance Loan,"$839,166",Marketing Campaign,"Good: Solid cash flow, strong collateral, proven business. Growth tied heavily to local market conditions. Market position strengthened by recent competitive exits. Environmental risk due to property location.","Approve, collateral covers downside; monitor quarterly.",4,9047638,867923,1313554,11616457,5994320,2.23,1.52,2.16
CM-007,Food Truck seeking Inventory Loan [4],Cleaning Service,SBA Term Loan,"$808,539",Equipment Purchase,"Good: Solid cash flow, strong collateral, proven business. Facility lease expiring next year, renewal terms uncertain. Outstanding tax liens discovered in credit review. Negative trends in same-store sales, inventory turnover below average. Business experienced a recent operating loss due to market disruption. Significant contingent liabilities from outstanding legal claims.","Approve, collateral covers downside; monitor quarterly.",4,2788884,329383,383965,3649012,2280960,1.94,1.8,2.35
CM-008,Consultancy seeking Revolving LOC [3],Tech Startup,Technology Upgrade Loan,"$1,827,528",Technology Upgrade,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Strong historical cash flow and low leverage. Multiple missed payments on previous loans. Management team highly experienced but thin succession plan. Negative trends in same-store sales, inventory turnover below average.",Approve with tight covenants and ongoing review.,3,1980887,91469,215541,2254346,1584809,1.55,1.34,3.01
CM-009,Fitness Gym seeking Refinance Loan [5],Auto Repair Shop,Equipment Loan,"$602,417",Expansion,"Excellent: Exceptional financials, low risk, excellent reputation. New management team, limited track record in sector. Facility lease expiring next year, renewal terms uncertain. Collateral consists of recently appraised real estate and new equipment. Negative trends in same-store sales, inventory turnover below average. Applicant lacks relevant industry experience.",Approve on preferred terms; risk is minimal.,5,6348125,923051,1467200,11169099,2534111,2.83,2.76,0.94
CM-010,Real Estate Developer seeking Inventory Loan [3],Wholesale Distributor,Revolving LOC,"$568,294",Working Capital,"OK: Average risk, adequate financials, fair collateral. Recent investment in technology improving operations. Management team highly experienced but thin succession plan. Growth tied heavily to local market conditions.",Approve with tight covenants and ongoing review.,3,745061,53190,63801,1040266,1106250,1.79,1.35,3.06
