chunk_id,original_id,chunk_index,chunk_text,chunk_length,title,borrower,loan_type,score,recommendation
CM-001-1,CM-001,1,"Excellent: Exceptional financials, low risk, excellent reputation. DSCR above policy minimum; liquidity maintained. Business model proven over a decade with consistent profitability. Business heavily leveraged; recent refinancing attempts unsuccessful.",252,Pet Care Business seeking Working Capital [5],Food Truck,Refinance Loan,5,Approve on preferred terms; risk is minimal.
CM-001-2,CM-001,2,Significant contingent liabilities from outstanding legal claims. Outstanding tax liens discovered in credit review.,116,Pet Care Business seeking Working Capital [5],Food Truck,Refinance Loan,5,Approve on preferred terms; risk is minimal.
CM-002-1,CM-002,1,"OK: Average risk, adequate financials, fair collateral. Outstanding tax liens discovered in credit review. Growth tied heavily to local market conditions. Applicant lacks relevant industry experience.",200,Brewery seeking Equipment Loan [3],Restaurant,Partner Buyout,3,Approve with tight covenants and ongoing review.
CM-003-1,CM-003,1,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. DSCR above policy minimum; liquidity maintained. Collateral consists of recently appraised real estate and new equipment.",225,Cleaning Service seeking Inventory Loan [3],Food Truck,Startup Capital,3,Approve with tight covenants and ongoing review.
CM-004-1,CM-004,1,"OK: Average risk, adequate financials, fair collateral. Significant contingent liabilities from outstanding legal claims. Facility lease expiring next year, renewal terms uncertain. New management team, limited track record in sector.",234,Pet Care Business seeking Equipment Loan [3],Hair Salon,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-004-2,CM-004,2,Business heavily leveraged; recent refinancing attempts unsuccessful. Market position strengthened by recent competitive exits.,127,Pet Care Business seeking Equipment Loan [3],Hair Salon,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-005-1,CM-005,1,"Excellent: Exceptional financials, low risk, excellent reputation. Applicant lacks relevant industry experience. Collateral consists of recently appraised real estate and new equipment. Recent investment in technology improving operations.",239,Private School seeking Refinance Loan [5],Logistics Company,Working Capital,5,Approve on preferred terms; risk is minimal.
CM-005-2,CM-005,2,Business experienced a recent operating loss due to market disruption.,70,Private School seeking Refinance Loan [5],Logistics Company,Working Capital,5,Approve on preferred terms; risk is minimal.
CM-006-1,CM-006,1,"Good: Solid cash flow, strong collateral, proven business. Growth tied heavily to local market conditions. Market position strengthened by recent competitive exits. Environmental risk due to property location.",209,Fitness Gym seeking Inventory Loan [4],Consultancy,Refinance Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-007-1,CM-007,1,"Good: Solid cash flow, strong collateral, proven business. Facility lease expiring next year, renewal terms uncertain. Outstanding tax liens discovered in credit review. Negative trends in same-store sales, inventory turnover below average.",240,Food Truck seeking Inventory Loan [4],Cleaning Service,SBA Term Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-007-2,CM-007,2,Business experienced a recent operating loss due to market disruption. Significant contingent liabilities from outstanding legal claims.,136,Food Truck seeking Inventory Loan [4],Cleaning Service,SBA Term Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-008-1,CM-008,1,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Strong historical cash flow and low leverage. Multiple missed payments on previous loans. Management team highly experienced but thin succession plan.",259,Consultancy seeking Revolving LOC [3],Tech Startup,Technology Upgrade Loan,3,Approve with tight covenants and ongoing review.
CM-008-2,CM-008,2,"Negative trends in same-store sales, inventory turnover below average.",70,Consultancy seeking Revolving LOC [3],Tech Startup,Technology Upgrade Loan,3,Approve with tight covenants and ongoing review.
